FlightNumber;Date;BoosterVersion;PayloadMass;Payload;Orbit;LaunchSite;LandingOutcome;Flights;GridFins;Reused;Legs;LandingPad;Block;Customers;Mission_Outcome;ReusedCount;Serial;Longitude;Latitude
34;25/06/2017;Falcon 9;9600.0;Iridium NEXT 2;PO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;3.0;Iridium Communications;True;1;B1036;-120.610.829;34.632.093
35;05/07/2017;Falcon 9;6761.0;Intelsat 35e;GTO;KSC LC 39A;None None;1;False;False;False;;3.0;Intelsat;True;0;B1037;-806.039.558;286.080.585
36;14/08/2017;Falcon 9;2910.0;CRS-12;ISS;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;4.0;NASA (CRS);True;1;B1039;-806.039.558;286.080.585
37;24/08/2017;Falcon 9;475.0;FormoSat-5;SSO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;3.0;NSPO (Taiwan);True;1;B1038;-120.610.829;34.632.093
38;07/09/2017;Falcon 9;4990.0;X-37B OTV-5;LEO;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;4.0;USAF;True;1;B1040;-806.039.558;286.080.585
39;09/10/2017;Falcon 9;9600.0;Iridium NEXT 3;PO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;4.0;Iridium Communications;True;1;B1041;-120.610.829;34.632.093
40;11/10/2017;Falcon 9;5200.0;SES-11 / Echostar 105;GTO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;3.0;SES,Echostar;True;1;B1031;-806.039.558;286.080.585
41;30/10/2017;Falcon 9;3700.0;KoreaSat 5A;GTO;KSC LC 39A;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;4.0;KT Corporation;True;0;B1042;-806.039.558;286.080.585
42;15/12/2017;Falcon 9;2205.0;CRS-13;ISS;CCSFS SLC 40;True RTLS;2;True;True;True;5e9e3032383ecb267a34e7c7;3.0;NASA (CRS);True;1;B1035;-80.577.366;285.618.571
43;23/12/2017;Falcon 9;9600.0;Iridium NEXT 4;PO;VAFB SLC 4E;True Ocean;2;True;True;False;;3.0;Iridium Communications;True;1;B1036;-120.610.829;34.632.093
44;08/01/2018;Falcon 9;8.191.079.109.589.040;ZUMA;LEO;CCSFS SLC 40;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;4.0;Northrop Grumman;True;1;B1043;-80.577.366;285.618.571
45;31/01/2018;Falcon 9;4230.0;GovSat-1;GTO;CCSFS SLC 40;True Ocean;2;True;True;True;;3.0;GovSat;True;1;B1032;-80.577.366;285.618.571
46;06/03/2018;Falcon 9;6092.0;Hispasat 30W-6;GTO;CCSFS SLC 40;None None;1;True;False;True;;4.0;Hispasat;True;0;B1044;-80.577.366;285.618.571
47;30/03/2018;Falcon 9;9600.0;Iridium NEXT 5;PO;VAFB SLC 4E;None None;2;True;True;True;;4.0;Iridium Communications;True;1;B1041;-120.610.829;34.632.093
48;02/04/2018;Falcon 9;2760.0;CRS-14;ISS;CCSFS SLC 40;None None;2;True;True;True;;4.0;NASA (CRS);True;1;B1039;-80.577.366;285.618.571
49;18/04/2018;Falcon 9;350.0;TESS;HEO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;4.0;NASA;True;1;B1045;-80.577.366;285.618.571
50;11/05/2018;Falcon 9;3750.0;Bangabandhu-1;GTO;KSC LC 39A;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;Bangladesh Gov;True;3;B1046;-806.039.558;286.080.585
51;04/06/2018;Falcon 9;5383.85;SES-12;GTO;CCSFS SLC 40;None None;2;False;True;False;;4.0;SES;True;1;B1040;-80.577.366;285.618.571
52;29/06/2018;Falcon 9;2410.0;CRS-15;ISS;CCSFS SLC 40;None None;2;False;True;False;;4.0;NASA (CRS);True;1;B1045;-80.577.366;285.618.571
53;22/07/2018;Falcon 9;7076.0;Telstar 19V;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;Telesat;True;2;B1047;-80.577.366;285.618.571
54;25/07/2018;Falcon 9;9600.0;Iridium NEXT 7;PO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;5.0;Iridium Communications;True;4;B1048;-120.610.829;34.632.093
55;07/08/2018;Falcon 9;5800.0;Telkom-4;GTO;CCSFS SLC 40;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;Telkom;True;3;B1046;-80.577.366;285.618.571
56;10/09/2018;Falcon 9;7060.0;Telstar 18V;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;Telesat;True;9;B1049;-80.577.366;285.618.571
57;08/10/2018;Falcon 9;2800.0;SAOCOM 1A;SSO;VAFB SLC 4E;True RTLS;2;True;True;True;5e9e3032383ecb554034e7c9;5.0;CONAE;True;4;B1048;-120.610.829;34.632.093
58;15/11/2018;Falcon 9;3000.0;Es’hail 2;GTO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;Es’hailSat;True;2;B1047;-806.039.558;286.080.585
59;03/12/2018;Falcon 9;4000.0;SSO-A;SSO;VAFB SLC 4E;True ASDS;3;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;Spaceflight Industries, Inc;True;3;B1046;-120.610.829;34.632.093
60;05/12/2018;Falcon 9;2573.0;CRS-16;ISS;CCSFS SLC 40;False RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;5.0;NASA (CRS);True;0;B1050;-80.577.366;285.618.571
61;23/12/2018;Falcon 9;4400.0;GPS III SV01;MEO;CCSFS SLC 40;None None;1;False;False;False;;5.0;USAF;True;0;B1054;-80.577.366;285.618.571
62;11/01/2019;Falcon 9;9600.0;Iridium NEXT 8;PO;VAFB SLC 4E;True ASDS;2;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;Iridium Communications;True;9;B1049;-120.610.829;34.632.093
63;02/03/2019;Falcon 9;12259.0;CCtCap Demo Mission 1;ISS;KSC LC 39A;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;NASA (CCtCap);True;12;B1051;-806.039.558;286.080.585
64;04/05/2019;Falcon 9;2482.0;CRS-17;ISS;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;NASA (CRS);True;3;B1056;-80.577.366;285.618.571
65;24/05/2019;Falcon 9;13200.0;Starlink v0.9;VLEO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;9;B1049;-80.577.366;285.618.571
66;12/06/2019;Falcon 9;1425.0;RADARSAT Constellation;SSO;VAFB SLC 4E;True RTLS;2;True;True;True;5e9e3032383ecb554034e7c9;5.0;CSA;True;12;B1051;-120.610.829;34.632.093
67;25/07/2019;Falcon 9;2227.7;CRS-18;ISS;CCSFS SLC 40;True RTLS;2;True;True;True;5e9e3032383ecb267a34e7c7;5.0;NASA (CRS);True;3;B1056;-80.577.366;285.618.571
68;06/08/2019;Falcon 9;6500.0;Amos-17;GTO;CCSFS SLC 40;None None;3;False;True;False;;5.0;Spacecom;True;2;B1047;-80.577.366;285.618.571
69;11/11/2019;Falcon 9;15600.0;Starlink-1;VLEO;CCSFS SLC 40;True ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;4;B1048;-80.577.366;285.618.571
70;05/12/2019;Falcon 9;5000.0;CRS-19;ISS;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;NASA (CRS);True;5;B1059;-80.577.366;285.618.571
71;17/12/2019;Falcon 9;6800.0;JCSat 18 / Kacific 1;GTO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SKY Perfect JSAT Corporation,Kacific Broadband Satellites Pte Ltd;True;3;B1056;-80.577.366;285.618.571
72;07/01/2020;Falcon 9;15600.0;Starlink-2;VLEO;CCSFS SLC 40;True ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;9;B1049;-80.577.366;285.618.571
73;19/01/2020;Falcon 9;8.191.079.109.589.040;Crew Dragon In Flight Abort Test;SO;KSC LC 39A;None None;4;False;True;False;;5.0;NASA (CCtCap);True;3;B1046;-806.039.558;286.080.585
74;29/01/2020;Falcon 9;15600.0;Starlink-3;VLEO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;12;B1051;-80.577.366;285.618.571
75;17/02/2020;Falcon 9;15600.0;Starlink-4;VLEO;CCSFS SLC 40;False ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;3;B1056;-80.577.366;285.618.571
76;07/03/2020;Falcon 9;1977.0;CRS-20;ISS;CCSFS SLC 40;True RTLS;2;True;True;True;5e9e3032383ecb267a34e7c7;5.0;NASA (CRS);True;5;B1059;-80.577.366;285.618.571
77;18/03/2020;Falcon 9;15600.0;Starlink-5;VLEO;KSC LC 39A;False ASDS;5;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;4;B1048;-806.039.558;286.080.585
78;22/04/2020;Falcon 9;15600.0;Starlink-6;VLEO;KSC LC 39A;True ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;12;B1051;-806.039.558;286.080.585
79;30/05/2020;Falcon 9;9525.0;CCtCap Demo Mission 2;ISS;KSC LC 39A;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;NASA (CCtCap);True;13;B1058;-806.039.558;286.080.585
80;04/06/2020;Falcon 9;15600.0;Starlink-7;VLEO;CCSFS SLC 40;True ASDS;5;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;9;B1049;-80.577.366;285.618.571
81;13/06/2020;Falcon 9;15600.0;Starlink-8;VLEO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;5;B1059;-80.577.366;285.618.571
82;30/06/2020;Falcon 9;3880.0;GPS III SV03 (Columbus);MEO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;5.0;USAF;True;12;B1060;-80.577.366;285.618.571
83;20/07/2020;Falcon 9;8.191.079.109.589.040;ANASIS-II;GEO;CCSFS SLC 40;True ASDS;2;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;South Korea;True;13;B1058;-80.577.366;285.618.571
84;18/08/2020;Falcon 9;15600.0;Starlink-10;VLEO;CCSFS SLC 40;True ASDS;6;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;9;B1049;-80.577.366;285.618.571
85;30/08/2020;Falcon 9;1600.0;SAOCOM 1B;SSO;CCSFS SLC 40;True RTLS;4;True;True;True;5e9e3032383ecb267a34e7c7;5.0;CONAE;True;5;B1059;-80.577.366;285.618.571
86;03/09/2020;Falcon 9;15600.0;Starlink-11;VLEO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;12;B1060;-806.039.558;286.080.585
87;06/10/2020;Falcon 9;15600.0;Starlink-12;VLEO;KSC LC 39A;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;13;B1058;-806.039.558;286.080.585
88;18/10/2020;Falcon 9;15600.0;Starlink-13;VLEO;KSC LC 39A;True ASDS;6;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;12;B1051;-806.039.558;286.080.585
89;24/10/2020;Falcon 9;15600.0;Starlink-14;VLEO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;12;B1060;-80.577.366;285.618.571
90;05/11/2020;Falcon 9;3681.0;GPS III SV04 (Sacagawea);MEO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;United States Space Force;True;8;B1062;-80.577.366;285.618.571
91;16/11/2020;Falcon 9;8.191.079.109.589.040;Crew-1;ISS;KSC LC 39A;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;5.0;NASA (CCtCap);True;9;B1061;-806.039.558;286.080.585
92;21/11/2020;Falcon 9;1440.0;Sentinel-6 Michael Freilich;PO;VAFB SLC 4E;True RTLS;1;True;False;True;5e9e3032383ecb554034e7c9;5.0;NASA;True;6;B1063;-120.610.829;34.632.093
93;25/11/2020;Falcon 9;15600.0;Starlink-15;VLEO;CCSFS SLC 40;True ASDS;7;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;9;B1049;-80.577.366;285.618.571
94;06/12/2020;Falcon 9;2972.0;CRS-21;ISS;KSC LC 39A;True ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;NASA (CRS);True;13;B1058;-806.039.558;286.080.585
95;13/12/2020;Falcon 9;7000.0;SXM-7;GTO;CCSFS SLC 40;True ASDS;7;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SiriusXM;True;12;B1051;-80.577.366;285.618.571
96;19/12/2020;Falcon 9;8.191.079.109.589.040;NROL-108;;KSC LC 39A;True RTLS;5;True;True;True;5e9e3032383ecb267a34e7c7;5.0;National Reconnaissance Office;True;5;B1059;-806.039.558;286.080.585
97;08/01/2021;Falcon 9;3500.0;Turksat 5A;GTO;CCSFS SLC 40;True ASDS;4;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;Turksat;True;12;B1060;-80.577.366;285.618.571
98;20/01/2021;Falcon 9;15600.0;Starlink-16;VLEO;KSC LC 39A;True ASDS;8;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;12;B1051;-806.039.558;286.080.585
99;24/01/2021;Falcon 9;8.191.079.109.589.040;Transporter-1;SSO;CCSFS SLC 40;True ASDS;5;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;;True;13;B1058;-80.577.366;285.618.571
100;04/02/2021;Falcon 9;15600.0;Starlink-18;VLEO;CCSFS SLC 40;True ASDS;5;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;12;B1060;-80.577.366;285.618.571
101;16/02/2021;Falcon 9;15600.0;Starlink-19;VLEO;CCSFS SLC 40;False ASDS;6;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;5;B1059;-80.577.366;285.618.571
102;04/03/2021;Falcon 9;15600.0;Starlink-17;VLEO;KSC LC 39A;True ASDS;8;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;9;B1049;-806.039.558;286.080.585
103;11/03/2021;Falcon 9;15600.0;Starlink-20;VLEO;CCSFS SLC 40;True ASDS;6;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;13;B1058;-80.577.366;285.618.571
104;14/03/2021;Falcon 9;15600.0;Starlink-21;VLEO;KSC LC 39A;True ASDS;9;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;12;B1051;-806.039.558;286.080.585
105;24/03/2021;Falcon 9;15600.0;Starlink-22;VLEO;CCSFS SLC 40;True ASDS;6;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;12;B1060;-80.577.366;285.618.571
106;07/04/2021;Falcon 9;15600.0;Starlink-23;VLEO;CCSFS SLC 40;True ASDS;7;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;13;B1058;-80.577.366;285.618.571
107;23/04/2021;Falcon 9;8.191.079.109.589.040;Crew-2;ISS;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;NASA (CCtCap);True;9;B1061;-806.039.558;286.080.585
108;29/04/2021;Falcon 9;15600.0;Starlink-24;VLEO;CCSFS SLC 40;True ASDS;7;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;12;B1060;-80.577.366;285.618.571
109;04/05/2021;Falcon 9;15600.0;Starlink-25;VLEO;KSC LC 39A;True ASDS;9;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;9;B1049;-806.039.558;286.080.585
110;09/05/2021;Falcon 9;15600.0;Starlink-27;VLEO;CCSFS SLC 40;True ASDS;10;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;12;B1051;-80.577.366;285.618.571
111;26/05/2021;Falcon 9;15600.0;Starlink-28;VLEO;CCSFS SLC 40;True ASDS;2;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;6;B1063;-80.577.366;285.618.571
112;03/06/2021;Falcon 9;3328.0;CRS-22;ISS;KSC LC 39A;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;NASA (CRS);True;5;B1067;-806.039.558;286.080.585
113;06/06/2021;Falcon 9;7000.0;SXM-8;GTO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SiriusXM;True;9;B1061;-80.577.366;285.618.571
114;17/06/2021;Falcon 9;3681.0;GPS III SV05;MEO;CCSFS SLC 40;True ASDS;2;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;USAF;True;8;B1062;-80.577.366;285.618.571
115;30/06/2021;Falcon 9;8.191.079.109.589.040;Transporter-2;SSO;CCSFS SLC 40;True RTLS;8;True;True;True;5e9e3032383ecb267a34e7c7;5.0;;True;12;B1060;-80.577.366;285.618.571
116;29/08/2021;Falcon 9;8.191.079.109.589.040;CRS-23;ISS;KSC LC 39A;True ASDS;4;True;True;True;5e9e3033383ecb075134e7cd;5.0;NASA (CRS);True;9;B1061;-806.039.558;286.080.585
117;14/09/2021;Falcon 9;15600.0;Starlink 2-1 (v1.5);PO;VAFB SLC 4E;True ASDS;10;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;9;B1049;-120.610.829;34.632.093
118;16/09/2021;Falcon 9;8.191.079.109.589.040;Inspiration4;LEO;KSC LC 39A;True ASDS;3;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;Jared Isaacman;True;8;B1062;-806.039.558;286.080.585
119;11/11/2021;Falcon 9;12519.0;Crew-3;ISS;KSC LC 39A;True ASDS;2;True;True;True;5e9e3033383ecb075134e7cd;5.0;NASA (CCtCap);True;5;B1067;-806.039.558;286.080.585
120;13/11/2021;Falcon 9;13260.0;Starlink 4-1 (v1.5);LEO;CCSFS SLC 40;True ASDS;9;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;13;B1058;-80.577.366;285.618.571
121;24/11/2021;Falcon 9;670.0;DART (Double Asteroid Redirection Test);TLI;VAFB SLC 4E;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;NASA;True;6;B1063;-120.610.829;34.632.093
122;01/12/2021;Falcon 9;13260.0;Starlink 4-3 (v1.5);PO;CCSFS SLC 40;True ASDS;9;True;True;True;5e9e3033383ecb075134e7cd;5.0;SpaceX;True;12;B1060;-80.577.366;285.618.571
123;09/12/2021;Falcon 9;330.0;IPXE;LEO;KSC LC 39A;True ASDS;5;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;NASA,ASI;True;9;B1061;-806.039.558;286.080.585
124;18/12/2021;Falcon 9;13260.0;Starlink 4-4 (v1.5);PO;VAFB SLC 4E;True ASDS;11;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;12;B1051;-120.610.829;34.632.093
125;19/12/2021;Falcon 9;3500.0;Türksat 5B;GTO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3033383ecb075134e7cd;5.0;Turksat;True;5;B1067;-80.577.366;285.618.571
126;21/12/2021;Falcon 9;8.191.079.109.589.040;CRS-24;ISS;KSC LC 39A;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;5.0;NASA (CRS);True;1;B1069;-806.039.558;286.080.585
127;06/01/2022;Falcon 9;13260.0;Starlink 4-5 (v1.5);VLEO;KSC LC 39A;True ASDS;4;True;True;True;5e9e3033383ecb075134e7cd;5.0;SpaceX;True;8;B1062;-806.039.558;286.080.585
128;13/01/2022;Falcon 9;8.191.079.109.589.040;NROL-87;LEO;CCSFS SLC 40;True RTLS;10;True;True;True;5e9e3032383ecb267a34e7c7;5.0;National Reconnaissance Office,USAF;True;13;B1058;-80.577.366;285.618.571
129;19/01/2022;Falcon 9;13260.0;Starlink 4-6 (v1.5);VLEO;KSC LC 39A;True ASDS;10;True;True;True;5e9e3033383ecb075134e7cd;5.0;SpaceX;True;12;B1060;-806.039.558;286.080.585
130;31/01/2022;Falcon 9;2240.0;CSG-2;SSO;CCSFS SLC 40;True RTLS;3;True;True;True;5e9e3032383ecb267a34e7c7;5.0;ESA;True;6;B1052;-80.577.366;285.618.571
